,address,to_address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0x0000000048429ba5463a4a9aa866460087dcebd0,0x7cc46cf6392ed9db45351a3f82eb2cc3b83da761,355,351,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0x00000000863b56a3c1f0f1be8bc4f8b7bd78f57a,0xf89d7b9c864f589bbf53a82105107622b35eaa40,601,592,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0x000000062bf07241987d5f1f88fc25c9190bcfc9,0x7dbfed48bddd2d4357f1f3c7dc45f5f85eb7100e,539,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0x00000006e42915a2b6907f8b3faf311b68862f60,0x6448d7a20ece8c57212ad52b362b5c9b4feac27d,140,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0x000000697bb288f2528042e8844b65cd32beafca,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,564,554,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0x000000b833f5d0d1119c479df0777789a6ac207d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,303,285,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0x0000098a312e1244f313f83cac319603a97f4582,0xf89d7b9c864f589bbf53a82105107622b35eaa40,403,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0x000101d1c9769ea22d6ea627b19bffcc99f61bf3,0xdac17f958d2ee523a2206206994597c13d831ec7,130,117,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0x0001276ab06569d7a6582ee5367345809522adbc,0xeeeec6476073778077b40a73fe32e23a9876cab4,127,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0x0002b5ca4da0bf9b22480a39c32145159388baed,0xf89d7b9c864f589bbf53a82105107622b35eaa40,613,603,593,551,537,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0x0007fcf5590179336c826a60c80976623c7bbc29,0x278c8c991873fc3baed5ffedd032fec16dfb10ce,346,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0x000f422887ea7d370ff31173fd3b46c8f66a5b1c,0xde2cbbec82bf8c25b9a7be3fa42481650775a180,632,621,613,593,586,561,524,507,486,480,472,457,455,433,339,326,325,315,304,272,271,240,231,221,206,151,111,101,85,80,68,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0x0010985214e2a95244b4765b7df8693d1c5c393f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,259,254,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0x00189ac6bd9069d4d5ff1a1f68d55ca8e17968d9,0xf89d7b9c864f589bbf53a82105107622b35eaa40,548,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0x001c356c0be5dd6c91ca24ef04d9e10081510682,0xf89d7b9c864f589bbf53a82105107622b35eaa40,325,306,295,295,292,277,270,269,268,267,267,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0x001c90675bb5e65e23932ac88c3e084c43f6b9d8,0xdac17f958d2ee523a2206206994597c13d831ec7,527,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0x001cb8d33538dbba078e5644735bc1ece4004dd1,0xfc384a64df241c83b0e248d0f4bc3468dde44ce0,52,50,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0x001f0e8d5eb2fbf14003492a61d2d20da451571c,0x00000000006c3852cbef3e08e8df289169ede581,185,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0x0023af05db6f207a76129e21e291401f8d007f40,0x7492e30d60d96c58ed0f0dc2fe536098c620c4c0,305,235,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0x00242e0719ec1dafd95d6c70b469728c88dd83a6,0x86afef8d914f83722139dc0a9f557186fada02ce,475,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0x002b0c31daf1002b438881a28f2023830314688c,0x9535f7d54338ea260cee90b0e17568ca1a96fb86,330,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0x0032857aec7f3833108362ad780c73979518a4c5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,332,254,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0x0035e82a69644a85b5fd117d22494caff1c893c1,0xeeeec6476073778077b40a73fe32e23a9876cab4,400,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0x0037825fd75af7eeace28889665e3fac8fdb6300,0x82c7a8f707110f5fbb16184a5933e9f78a34c6ab,431,226,216,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0x003851e5aca9167c1c0cfd09f73e64bb2768f631,0xf89d7b9c864f589bbf53a82105107622b35eaa40,355,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0x00385f60f4b5234e96989805af7328f7afd742b1,0x05f8688d6ea822137d58de2e4a0a0e7080c42dc0,350,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0x0039b625b1d8632c7a0057c964ec58a9f39789d3,0xda3643af97eb050b79067aff8b3d72254505df86,492,393,203,175,153,153,52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0x003e3e28c33e1f69f9eb44ed42180da097234671,0x292f04a44506c2fd49bac032e1ca148c35a478c8,604,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0x003fb138641bc805e64fb345d582662d2ba88730,0x00000000006c3852cbef3e08e8df289169ede581,396,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0x00472c1e4275230354dbe5007a5976053f12610a,0xec52a6f480f3fba9aaa7aae781908559d4ebf445,111,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0x004f1e106dba9d82c97c5d4a0d7aff86bfa30ac0,0x5eb294507e5f038b8b34433ed37b4c18dd3a3074,610,535,459,384,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0x004f74a8388ce91950f29ea3e37ef604693a6395,0x76f4eed9fe41262669d0250b2a97db79712ad855,525,496,340,287,212,129,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0x0057125e1669d2f5666a6543cf168d1388787002,0xf89d7b9c864f589bbf53a82105107622b35eaa40,364,361,353,333,284,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0x0057dde1d8a0cc7aa68dc5db7f00d21cd5e12afc,0x3db76cc3673fef9b454562df53188ac3147826f8,171,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0x005960249d287eb5bae5ec847d3c2f59eaa4fba5,0x9507c04b10486547584c37bcbd931b2a4fee9a41,123,107,107,107,102,95,94,90,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0x005f3164d84f702ddde943f094f601feaae2ff6d,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,61,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0x005fde5294199d5c3eb5eb7a6e51954123b74b1c,0xdac17f958d2ee523a2206206994597c13d831ec7,375,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0x0062a46dcf81760aca47666c1ad30591126a5b1c,0xa21cd67c29c3dd61fb489238d02e3723ad87f9b0,378,309,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0x006d26d1b640dbb9f9783ce0fdd700639adb11a3,0x500e671960ea705ca5ea03fd91f3cbfda1ef3474,127,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0x006d85f6ac839c8f7ab3487b926b8c65f0e9db39,0x9ade9ea6fd4fca08e27db8d2b607e3e30bcb0ab2,410,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0x0079ce80043edc3325598e4a3b6293ab779bf174,0xf89d7b9c864f589bbf53a82105107622b35eaa40,628,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0x00801180685476dd2cb0718b87114412cf37a39b,0xdac17f958d2ee523a2206206994597c13d831ec7,588,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0x00820545b0f824768fd4e44b3d2949b1d1f0d24c,0x88ca0e1c12c6e87f5b7b6475786e1982ac95092b,605,542,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0x0087c0a82b19020770cd9602e9c330c21d144764,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,51,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0x0087c5900b9bbc051b5f6299f5bce92383273b28,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,90,70,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0x0088895573530c1b796e30f97045133a5f17e943,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,395,387,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0x008c4bb1c24d3c6e50f32b6d66e8b6065b3d68d1,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,404,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0x008e45798d3f3b4cb336439245048425590e3c8e,0xeeb1adf36de6606acf4e726b5ba76aa19be5bc52,206,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0x009224666f0dfd9f7f19f3141b744a7ed385b20f,0xf89d7b9c864f589bbf53a82105107622b35eaa40,35,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0x0097711bacec19522cab5777c6db7a4919679fdf,0x6234710e0d14a640682ecb3012188c29e1215bd4,588,575,570,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0x009bdde7be15c2a52340fa7c79c473fac3e8f957,0xe2242ce8670d2e23b0c629b6f12d48f3403fdf1f,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0x009c0b9068b197119a52b0d00c9ae397954e999d,0x8268bc4f4f6c99fc45762e63c09f9168c1f77384,302,200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0x00a336211fbfba4c644ee12ff59a206ede4823fb,0x7492e30d60d96c58ed0f0dc2fe536098c620c4c0,306,280,217,177,171,166,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
